Date Raw;Date Parsed;SLP Burned;SLP Minted
1623715200000;06/14/2021;18259650;18197174
1623801600000;06/15/2021;18641550;14121201
1623888000000;06/16/2021;16351500;8627885
1623974400000;06/17/2021;18115800;11081338
1624060800000;06/18/2021;18563550;11764741
1624147200000;06/19/2021;18808350;15208698
1624233600000;06/20/2021;19873050;11183993
1624320000000;06/21/2021;18870750;14884672
1624406400000;06/22/2021;18604050;15328867
1624492800000;06/23/2021;23432100;25919466
1624579200000;06/24/2021;23771550;27724008
1624665600000;06/25/2021;26312250;29538460
1624752000000;06/26/2021;40802850;42971359
1624838400000;06/27/2021;34635600;43863556
1624924800000;06/28/2021;28238850;35837889
1625011200000;06/29/2021;53834550;61681601
1625097600000;06/30/2021;29961150;30437290
1625184000000;07/01/2021;36428100;45000437
1625270400000;07/02/2021;38096700;38479577
1625356800000;07/03/2021;39434850;43174141
1625443200000;07/04/2021;41366250;31429463
1625529600000;07/05/2021;43712100;38928731
1625616000000;07/06/2021;43755450;49091615
1625702400000;07/07/2021;44538300;38631653
1625788800000;07/08/2021;48758400;44301622
1625875200000;07/09/2021;46183800;47310267
1625961600000;07/10/2021;50386800;52508444
1626048000000;07/11/2021;49994700;53663118
1626134400000;07/12/2021;20671500;63888460
1626220800000;07/13/2021;56024700;58070501
1626307200000;07/14/2021;48736200;61086609
1626393600000;07/15/2021;51803550;37256961
1626480000000;07/16/2021;41740200;44604861
1626566400000;07/17/2021;26044950;15860346
1626652800000;07/18/2021;35068950;21432200
1626739200000;07/19/2021;32564250;4066749
1626825600000;07/20/2021;26120400;14227038
1626912000000;07/21/2021;37480650;208835802
1626998400000;07/22/2021;35624700;58706787
1627084800000;07/23/2021;30916350;53351113
1627171200000;07/24/2021;40295550;59464999
1627257600000;07/25/2021;33106650;33113438
1627344000000;07/26/2021;25102500;48979072
1627430400000;07/27/2021;38386800;62652662
1627516800000;07/28/2021;43514400;66155383
1627603200000;07/29/2021;46179000;96583919
1627689600000;07/30/2021;45374100;122126164
1627776000000;07/31/2021;44035350;86171739
1627862400000;08/01/2021;43597200;53592913
